Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
04/14/2001,10.25,1.28,29.00,0.03,16.40,33.65,4.24
07/12/2012,10.25,1.71,25.00,0.09,22.90,33.87,2.87
07/19/2015,10.25,2.20,32.00,0.03,24.20,34.03,2.37
01/16/2004,10.26,2.61,39.00,0.04,28.20,34.29,1.41
07/20/2015,10.26,2.28,34.60,0.02,25.60,34.04,2.00
01/16/2015,10.27,1.66,27.80,0.01,21.20,33.64,2.71
04/07/2015,10.27,2.09,29.90,0.03,23.30,33.93,2.61
07/21/2015,10.27,2.40,36.00,0.02,26.50,34.06,1.73
01/20/2017,10.27,1.40,23.30,0.08,20.00,33.51,3.12
10/24/2003,10.28,2.34,30.70,0.01,26.20,33.77,2.19
01/15/2004,10.28,2.61,38.60,0.04,28.20,34.29,1.43
11/01/2010,10.28,1.65,23.00,0.06,19.60,33.79,3.47
07/11/2012,10.28,1.65,23.50,0.09,22.30,33.98,3.11
11/05/2004,10.29,1.84,22.60,0.02,20.90,33.80,3.33
10/28/2006,10.29,1.26,18.30,0.24,16.40,33.56,4.71
08/03/2017,10.29,1.35,21.10,0.00,24.80,33.44,3.61
11/13/2019,10.29,1.78,25.70,0.02,20.20,33.71,3.34
07/26/2004,10.30,2.01,24.50,0.01,21.90,33.59,3.14
10/27/2006,10.30,1.24,18.00,0.25,16.10,33.56,4.77
01/31/2012,10.30,1.58,23.20,0.01,23.50,33.72,3.24
04/06/2002,10.32,2.36,30.20,0.02,24.00,33.98,2.33
10/25/2011,10.33,1.55,23.80,0.00,19.50,33.77,3.24
04/06/2015,10.35,1.61,21.00,0.07,18.50,33.71,3.61
04/25/2008,10.36,1.41,18.00,0.09,16.80,33.65,4.72
01/06/2005,10.37,2.37,31.90,0.01,25.30,33.74,2.14
02/05/2003,10.38,1.16,12.50,0.03,12.00,33.69,4.72
07/19/2001,10.39,1.74,20.30,0.20,20.00,34.15,3.79
07/20/2006,10.39,1.23,16.60,0.04,14.40,33.49,5.80
01/16/2008,10.39,1.59,21.80,0.12,20.40,33.63,3.53
02/08/2012,10.39,1.63,22.70,0.21,20.50,33.71,3.47
01/28/2015,10.39,2.03,30.70,0.02,23.00,33.96,2.37
11/11/2010,10.40,1.03,10.90,0.04,13.20,33.44,4.85
04/02/2004,10.43,2.32,30.80,0.01,25.10,33.64,2.33
04/08/2013,10.43,0.72,10.60,0.06,8.10,33.46,5.01
11/14/2019,10.43,1.58,22.00,0.03,18.00,33.67,3.76
04/15/2001,10.44,2.24,62.00,0.00,25.90,34.25,1.98
11/08/2014,10.44,1.90,25.90,0.02,21.50,33.71,2.89
07/03/2007,10.45,0.69,7.30,0.00,5.10,33.01,5.88
07/15/2009,10.45,0.99,15.00,0.00,12.90,33.73,4.89
04/22/2000,10.46,1.58,36.00,0.02,18.70,33.72,3.69
02/13/2003,10.46,1.25,13.20,0.05,13.40,33.78,4.58
01/14/2004,10.46,2.61,36.00,0.05,27.90,34.25,1.57
07/22/2006,10.47,1.21,16.00,0.04,14.00,33.49,5.86
03/30/2002,10.48,1.99,23.50,0.04,22.00,33.53,2.95
04/03/2003,10.49,2.50,35.60,0.23,27.30,34.23,1.37
01/29/2015,10.49,1.98,30.00,0.02,22.60,33.95,2.41
11/01/2015,10.49,1.17,14.20,0.06,11.70,33.48,4.40
04/02/2008,10.50,1.35,21.00,0.00,18.60,33.74,3.83
11/16/2009,10.51,0.63,6.00,0.04,3.90,33.49,6.03
01/20/2010,10.52,1.30,24.00,0.24,15.90,33.76,4.39
10/24/2011,10.52,1.48,22.00,0.00,18.30,33.76,3.44
02/01/2012,10.52,1.44,20.00,0.04,20.70,33.68,3.62
10/23/2003,10.53,2.17,26.50,0.02,24.00,33.72,2.66
02/16/2006,10.53,2.81,40.30,0.01,27.00,33.87,0.63
07/17/2009,10.53,1.60,19.00,0.37,17.80,33.59,3.89
11/16/2013,10.53,1.05,10.90,0.01,10.30,33.36,4.98
01/09/2017,10.53,1.17,17.40,0.03,16.00,33.64,3.84
04/04/2003,10.54,2.52,36.00,0.24,27.40,34.25,1.28
01/31/2015,10.54,1.85,27.40,0.02,21.50,33.88,2.75
07/20/2019,10.54,1.64,19.00,0.00,16.40,33.62,3.99
07/03/2012,10.55,1.44,19.00,0.09,19.70,34.10,3.80
06/15/2018,10.55,2.31,37.20,0.05,28.10,33.85,1.25
01/26/2011,10.56,1.52,20.50,0.12,20.20,33.67,3.64
04/06/2002,10.59,2.14,25.40,0.04,21.80,33.83,2.79
11/06/2015,10.59,1.20,13.70,0.24,7.80,33.50,4.49
07/17/2004,10.60,1.44,17.00,0.02,9.10,34.06,4.18
01/05/2005,10.60,2.09,27.60,0.02,23.20,33.70,2.52
01/25/2013,10.60,0.88,16.70,0.01,10.80,33.68,4.07
07/16/2014,10.60,1.04,20.90,0.09,17.70,33.68,3.73
02/02/2012,10.61,1.41,19.10,0.09,19.90,33.66,3.74
01/12/2013,10.61,1.08,17.20,0.05,11.70,33.69,3.92
11/09/2009,10.62,1.41,20.00,0.17,17.10,33.71,4.03
07/21/2013,10.63,0.90,9.40,0.00,9.00,33.40,5.31
11/09/2014,10.63,1.85,24.70,0.02,20.60,33.64,2.91
01/25/2010,10.64,1.25,23.20,0.23,14.80,33.75,4.58
07/15/2016,10.64,0.81,10.00,0.07,9.30,33.49,4.98
04/05/2003,10.65,2.95,38.80,0.04,28.70,34.27,0.83
01/08/2009,10.65,1.38,20.00,0.02,17.80,33.62,3.92
01/10/2016,10.65,1.14,16.10,0.02,10.80,33.38,4.11
02/03/2002,10.66,1.56,17.00,0.07,16.60,33.65,4.18
11/18/2002,10.66,1.38,14.10,0.11,14.00,33.38,4.62
11/02/2010,10.66,1.49,18.90,0.18,17.00,33.69,3.90
04/11/2014,10.66,1.33,19.90,0.04,13.80,33.65,3.88
04/06/2007,10.67,0.44,4.00,0.21,1.60,32.89,6.11
07/21/2009,10.67,0.80,9.00,0.01,8.00,33.24,5.23
01/16/2016,10.67,0.98,12.10,0.07,8.00,33.52,4.68
07/19/2014,10.68,0.98,20.00,0.12,17.10,33.66,3.75
04/23/2005,10.69,2.38,30.20,0.02,25.30,33.79,1.93
01/13/2004,10.71,2.52,34.10,0.05,26.70,34.15,1.79
11/23/2017,10.71,0.79,13.00,0.03,11.50,33.57,4.16
07/23/2016,10.72,0.69,10.50,0.05,5.20,33.33,4.96
07/14/2002,10.73,1.42,14.40,0.11,14.60,33.44,4.48
11/15/2019,10.73,1.31,16.50,0.01,14.60,33.59,4.27
04/22/2003,10.74,1.48,15.30,0.02,14.20,33.42,4.30
01/19/2015,10.74,1.67,26.70,0.04,20.70,33.58,2.55
01/14/2001,10.75,1.20,25.00,0.00,15.00,33.62,3.25
07/24/2003,10.75,2.34,33.10,0.02,26.20,34.16,2.12
03/28/2008,10.75,1.10,12.00,0.00,13.00,33.39,5.02
07/13/2015,10.75,2.03,30.60,0.01,19.60,34.07,2.03
01/15/2009,10.76,1.35,19.00,0.14,17.10,33.66,3.84
02/01/2014,10.76,1.24,14.20,0.00,9.90,33.41,4.84
11/17/2016,10.76,1.16,17.70,0.08,14.60,33.35,4.05
04/09/2007,10.77,0.44,3.70,0.19,1.60,32.90,6.13
11/12/2014,10.77,1.79,23.40,0.02,19.50,33.57,2.97
04/05/2008,10.78,1.24,19.00,0.00,15.90,33.66,4.26
05/05/2010,10.78,1.54,17.10,0.50,16.80,33.46,5.35
08/12/2010,10.78,0.54,4.00,0.12,1.40,33.19,6.04
07/19/2019,10.78,1.48,16.00,0.00,14.30,33.56,4.36
01/12/2004,10.79,2.54,33.70,0.11,26.20,34.06,1.85
11/21/2009,10.79,1.57,16.00,0.40,15.80,33.57,3.94
11/25/2013,10.79,0.96,9.00,0.01,8.60,33.35,5.18
11/20/2014,10.79,1.64,21.00,0.13,17.40,33.82,3.47
10/20/2008,10.80,1.38,18.00,0.12,17.20,33.63,3.88
07/24/2012,10.80,1.31,16.90,0.10,17.00,33.67,3.75
11/09/2016,10.80,1.17,17.40,0.11,16.30,33.46,3.57
04/20/2001,10.81,0.88,19.00,0.00,8.70,33.62,4.94
10/28/2001,10.82,1.94,18.40,0.26,16.80,33.71,4.13
01/20/2004,10.82,2.66,36.00,0.02,27.20,34.09,1.28
11/13/2004,10.82,2.79,37.80,0.02,28.80,33.80,1.17
08/09/2011,10.82,0.96,9.00,0.24,10.40,33.42,5.66
04/19/2018,10.82,0.21,16.00,0.00,1.90,33.58,3.61
10/22/2003,10.83,1.83,20.90,0.04,20.10,33.67,3.34
07/11/2006,10.84,0.33,2.90,0.02,0.00,33.01,6.16
04/17/2005,10.85,2.00,25.00,0.02,21.30,33.77,2.62
01/30/2015,10.85,1.32,16.50,0.05,14.80,33.75,4.19
01/25/2002,10.86,1.59,14.20,0.25,14.00,33.50,4.57
01/18/2007,10.86,1.21,15.00,0.26,15.40,33.59,4.94
02/07/2018,10.86,0.41,11.40,0.00,6.00,33.76,3.95
07/23/2003,10.88,1.81,24.10,0.02,20.90,33.99,3.42
10/14/2008,10.88,1.35,18.00,0.07,16.70,33.62,3.75
04/01/2004,10.89,2.09,26.80,0.05,23.20,33.58,2.54
11/04/2004,10.90,1.30,13.80,0.04,13.80,33.60,4.28
03/29/2014,10.90,1.12,12.20,0.08,8.60,33.60,4.67
11/13/2014,10.90,1.58,21.00,0.08,17.20,33.51,3.39
01/19/2004,10.92,2.21,27.00,0.02,24.90,33.89,2.01
01/27/2008,10.92,0.66,9.00,0.08,6.60,33.26,5.03
01/11/2004,10.93,2.39,30.80,0.25,24.80,33.97,2.14
11/21/2014,10.93,1.50,19.00,0.16,15.80,33.60,3.78
01/20/2015,10.93,1.55,23.80,0.04,19.10,33.53,2.82
04/26/2005,10.96,2.18,26.20,0.04,23.40,33.76,2.23
07/12/2001,10.97,1.09,23.00,0.00,11.50,33.61,4.43
11/14/2007,10.98,0.87,10.50,0.03,8.50,33.28,5.24
01/21/2015,10.98,1.09,16.60,0.07,14.10,33.48,4.04
08/02/2017,10.98,0.96,13.10,0.01,16.30,33.39,4.43
04/10/2002,10.99,1.40,14.40,0.24,13.80,33.67,4.37
08/20/2008,10.99,0.52,22.00,0.00,6.20,33.72,3.74
02/02/2014,10.99,1.21,13.00,0.00,8.80,33.37,4.98
01/07/2000,11.00,2.23,53.00,0.00,25.30,33.90,2.11
01/24/2002,11.00,1.47,13.00,0.26,12.80,33.49,4.76
04/16/2015,11.02,0.89,10.80,0.08,9.20,33.44,4.85
01/21/2007,11.03,1.14,12.80,0.25,13.80,33.57,5.26
10/26/2012,11.06,1.29,17.20,0.37,15.90,33.53,4.34
01/05/2005,11.08,1.92,22.80,0.03,21.00,33.66,2.77
02/18/2006,11.08,2.76,36.00,0.01,27.60,33.79,0.96
11/14/2004,11.10,2.62,33.90,0.02,27.80,33.70,1.49
03/29/2002,11.11,1.61,16.70,0.11,16.70,33.47,3.78
04/12/2003,11.14,1.32,14.20,0.08,12.80,33.72,4.39
01/10/2004,11.15,2.45,29.00,0.89,22.60,33.91,2.14
10/28/2008,11.15,1.19,15.00,0.10,13.80,33.54,4.37
11/16/2004,11.16,2.37,30.00,0.03,24.90,33.65,1.99
04/24/2008,11.18,1.19,11.00,0.07,12.90,33.59,5.39
03/29/2017,11.18,1.92,30.00,0.06,20.30,34.05,1.87
01/08/2000,11.21,2.91,73.30,0.00,28.30,34.02,0.28
06/17/2018,11.23,2.00,29.80,0.07,24.90,33.81,1.80
08/15/2008,11.24,0.58,5.00,0.07,3.50,33.54,6.10
07/05/2000,11.25,0.64,14.00,0.00,7.00,33.54,5.52
07/27/2004,11.25,1.55,17.40,0.04,16.40,33.54,3.77
03/31/2004,11.26,1.70,20.30,0.06,19.10,33.53,3.23
07/08/2002,11.27,1.15,10.50,0.06,10.60,33.45,5.29
07/16/2009,11.28,1.05,11.00,0.24,9.40,33.52,5.06
01/09/2004,11.30,2.29,27.40,0.87,21.30,33.88,2.44
07/14/2015,11.31,1.69,23.30,0.02,17.00,33.94,2.75
01/22/2000,11.34,0.88,16.00,0.06,9.00,33.59,5.10
11/22/2014,11.34,1.50,16.00,0.38,13.00,33.50,4.02
04/12/2014,11.35,1.01,13.40,0.12,9.70,33.65,4.75
11/15/2004,11.37,1.71,20.10,0.05,18.40,33.60,3.34
04/06/2016,11.39,0.81,8.70,0.00,5.60,33.39,4.88
07/22/2019,11.40,1.86,26.70,0.04,23.00,33.80,2.16
04/10/2019,11.41,2.45,37.60,0.14,24.50,34.11,0.38
01/11/2008,11.42,1.05,14.00,0.23,11.40,33.58,4.72
01/21/2009,11.43,0.66,7.00,0.06,5.40,33.41,5.69
07/15/2015,11.44,1.58,21.00,0.02,16.20,33.85,2.99
11/18/2016,11.44,0.75,9.80,0.12,7.80,33.29,4.95
11/14/2014,11.45,1.09,12.00,0.31,11.10,33.86,4.52
02/07/2006,11.48,1.99,25.90,0.02,23.20,33.56,2.04
06/22/2018,11.48,2.54,39.60,0.05,28.20,34.09,0.42
04/11/2000,11.50,0.96,18.00,0.13,10.10,33.44,3.82
04/18/2011,11.50,0.67,5.50,0.13,5.20,33.56,5.49
07/17/2014,11.50,0.93,11.80,0.13,9.50,33.55,4.91
11/02/2015,11.50,0.87,8.40,0.12,7.00,33.44,4.95
10/21/2003,11.51,1.25,12.70,0.07,12.60,33.62,4.44
11/12/2005,11.51,3.26,40.00,0.00,29.20,34.67,0.17
04/17/2000,11.52,1.47,24.00,0.44,13.10,33.56,4.69
07/24/2015,11.53,1.51,19.80,0.02,15.40,33.77,3.10
07/10/2000,11.54,0.83,19.00,0.34,4.40,33.46,4.77
07/22/2003,11.55,1.17,12.20,0.04,10.80,33.80,5.00
11/11/2005,11.55,3.22,39.50,0.00,29.00,34.65,0.19
08/10/2011,11.55,0.60,3.50,0.06,2.20,33.32,6.12
04/13/2006,11.56,0.90,4.50,0.17,8.30,33.35,6.51
04/05/2015,11.56,1.05,11.40,0.19,10.40,33.63,4.78
04/02/2019,11.57,2.43,39.90,0.05,25.10,34.02,0.24
11/10/2010,11.58,0.78,6.20,0.09,7.10,33.26,5.56
04/19/2018,11.59,0.33,13.50,0.00,0.00,33.56,4.35
02/10/2012,11.60,1.23,15.80,0.24,14.20,33.64,4.30
01/18/2000,11.61,1.69,37.40,0.00,20.30,33.89,2.93
04/02/2017,11.61,1.40,24.30,0.11,15.10,33.93,2.46
10/26/2006,11.63,0.90,9.40,0.18,9.90,33.47,6.01
10/18/2008,11.63,0.77,9.00,0.16,7.10,33.45,5.21
11/22/2009,11.63,0.75,8.00,0.08,6.10,33.30,5.79
07/31/2011,11.63,1.29,17.20,0.17,14.50,33.74,4.04
07/16/2016,11.64,0.55,5.20,0.10,4.90,33.44,5.45
02/01/2007,11.65,0.91,10.00,0.16,9.20,33.43,5.57
04/22/2003,11.67,0.93,6.50,0.06,6.70,33.33,5.48
11/03/2004,11.67,0.91,8.00,0.05,8.30,33.46,4.96
01/09/2016,11.67,0.77,9.10,0.06,5.80,33.36,4.81
01/26/2010,11.68,0.84,17.00,0.10,5.10,33.71,6.27
11/12/2010,11.68,0.76,6.00,0.09,6.70,33.25,5.60
06/23/2018,11.69,2.19,32.10,0.04,26.10,34.09,1.34
02/11/2012,11.70,1.17,15.00,0.22,13.40,33.64,4.36
11/16/2019,11.71,0.76,6.50,0.03,6.20,33.48,5.32
03/30/2004,11.72,1.12,10.70,0.02,10.90,33.47,4.62
07/18/2015,11.72,1.42,18.50,0.02,14.30,33.67,3.15
11/18/2013,11.73,0.75,5.30,0.05,4.80,33.29,5.50
02/03/2014,11.74,0.92,7.30,0.05,4.30,33.27,5.46
07/18/2019,11.74,1.01,8.80,0.01,8.00,33.48,5.22
01/27/2010,11.76,0.81,16.80,0.09,4.30,33.71,6.44
01/10/2017,11.77,0.73,9.60,0.03,8.70,33.63,5.02
11/05/2015,11.78,0.69,6.50,0.28,3.90,33.47,5.35
04/16/2005,11.81,1.45,18.00,0.04,16.80,33.74,3.03
11/21/2005,11.82,3.14,37.70,0.00,30.30,34.37,1.01
04/12/2006,11.82,0.80,2.00,0.16,6.90,33.34,6.75
11/11/2009,11.82,1.60,22.00,0.14,19.50,33.57,3.54
07/22/2016,11.83,0.46,4.60,0.06,2.30,33.28,5.59
01/08/2004,11.84,1.97,23.20,0.77,18.00,33.79,2.91
10/23/2011,11.84,1.46,18.30,0.12,14.90,33.61,4.36
01/17/2016,11.84,0.70,7.80,0.08,4.60,33.49,5.08
04/10/2017,11.85,0.79,9.20,0.09,4.20,34.22,4.99
07/17/2004,11.87,0.94,8.80,0.02,4.30,33.90,5.13
01/22/2007,11.87,0.83,5.00,0.16,7.30,33.43,6.19
10/31/2003,11.89,0.94,8.50,0.11,7.40,33.50,5.13
04/28/2005,11.89,1.82,18.30,0.24,18.60,33.74,3.05
07/13/2002,11.90,0.98,8.00,0.22,7.40,33.40,5.38
02/04/2003,11.93,0.83,6.90,0.12,6.20,33.57,5.25
02/19/2006,11.93,2.69,34.10,0.01,27.80,33.76,0.82
01/11/2013,11.93,0.73,7.60,0.15,5.80,33.62,5.07
07/23/2006,11.95,0.88,9.20,0.03,9.20,33.39,6.27
11/17/2009,11.95,0.33,2.00,0.00,0.00,33.29,5.90
04/09/2019,11.97,2.05,32.60,0.24,21.60,34.10,0.86
11/08/2016,11.98,0.76,10.10,0.13,9.10,33.42,4.63
03/29/2002,11.99,0.86,6.00,0.17,6.00,33.42,5.74
07/25/2012,12.01,0.96,10.00,0.23,9.30,33.60,4.54
04/03/2017,12.01,0.91,18.70,0.11,9.70,33.82,3.15
02/20/2006,12.02,2.51,30.40,0.03,25.90,33.72,1.29
07/10/2012,12.05,0.80,6.70,0.16,8.30,33.80,5.52
02/08/2006,12.06,1.46,16.20,0.02,16.40,33.63,3.30
10/22/2012,12.06,0.54,8.40,0.02,3.50,33.64,5.10
11/24/2017,12.06,0.44,6.30,0.00,5.00,33.54,4.84
04/15/2019,12.08,1.36,26.30,0.09,12.90,34.10,1.57
01/04/2005,12.09,1.39,14.00,0.13,14.00,33.63,3.86
10/29/2008,12.12,1.57,10.00,0.19,6.80,33.49,4.67
08/14/2010,12.12,0.42,2.10,0.00,0.00,33.03,6.28
11/06/2019,12.14,0.70,10.60,0.04,7.50,33.50,4.65
04/08/2007,12.16,0.44,2.00,0.00,1.50,33.01,6.27
01/12/2008,12.16,0.65,7.40,0.12,4.90,33.61,5.96
01/28/2010,12.16,0.64,15.00,0.04,0.60,33.70,7.31
01/29/2010,12.16,0.64,15.00,0.04,0.60,33.70,7.31
08/01/2017,12.16,0.42,5.60,0.12,5.40,33.36,5.30
01/26/2008,12.19,0.37,4.70,0.12,1.10,33.21,5.52
07/04/2007,12.21,0.35,1.90,0.00,0.00,32.94,6.46
01/17/2000,12.23,1.18,22.60,0.00,12.00,33.79,3.93
04/05/2002,12.23,0.94,8.40,0.10,3.50,33.65,5.42
11/07/2005,12.23,2.04,23.90,0.00,20.80,33.68,2.08
07/17/2015,12.24,1.16,15.00,0.02,11.90,33.57,3.76
02/06/2018,12.29,0.37,6.20,0.00,4.30,33.75,4.65
11/08/2001,12.30,0.91,4.80,0.12,3.30,33.46,6.41
11/14/2005,12.31,3.02,34.60,0.01,29.90,34.21,1.32
07/10/2006,12.35,0.28,2.10,0.01,0.00,32.93,6.47
04/09/2016,12.36,0.50,4.00,0.00,1.50,33.35,5.46
11/02/2004,12.37,0.77,6.00,0.04,5.70,33.43,5.24
11/19/2016,12.37,0.43,4.50,0.14,1.90,33.23,5.68
05/13/2010,12.41,1.08,12.00,0.20,10.30,33.52,6.11
02/12/2003,12.42,0.85,7.20,0.16,5.70,33.69,5.40
04/05/2019,12.45,2.28,36.00,0.12,23.50,33.99,0.41
07/09/2005,12.46,1.62,17.70,0.05,14.20,34.12,3.29
07/12/2013,12.46,0.61,4.40,0.30,2.40,33.34,5.90
04/07/2006,12.47,0.89,3.80,0.11,6.30,33.55,6.18
11/04/2007,12.49,0.28,3.00,0.00,0.00,33.16,5.74
11/16/2007,12.49,0.38,3.80,0.01,0.20,33.21,5.96
07/04/2005,12.50,2.88,38.50,0.04,28.00,34.32,0.36
07/06/2005,12.50,2.19,35.00,0.06,22.90,34.25,1.53
07/07/2005,12.51,2.00,29.80,0.06,21.30,34.24,1.86
04/04/2017,12.52,0.64,13.60,0.03,5.60,33.71,3.80
05/14/2010,12.55,1.08,12.00,0.20,10.20,33.50,6.11
07/18/2001,12.60,0.91,7.40,0.26,5.70,33.79,5.49
11/17/2002,12.60,0.83,5.80,0.26,5.10,33.37,5.58
04/08/2008,12.61,0.55,5.00,0.00,3.40,33.59,5.89
04/11/2003,12.62,0.85,6.90,0.15,5.20,33.65,5.48
07/08/2014,12.65,0.85,6.30,0.14,2.50,33.43,5.46
01/25/2011,12.66,0.95,9.80,0.07,9.90,33.65,5.11
07/05/2005,12.69,2.53,36.90,0.05,26.50,34.28,0.82
01/23/2015,12.70,0.41,6.00,0.10,1.40,33.39,5.88
04/15/2015,12.70,0.42,4.10,0.03,1.30,33.44,6.07
04/05/2019,12.71,2.08,30.60,0.03,23.00,33.98,0.85
11/19/2013,12.72,0.53,2.80,0.04,1.30,33.24,5.96
04/12/2006,12.74,0.61,1.20,0.13,6.30,33.34,6.73
06/17/2018,12.77,0.86,10.50,0.18,8.80,33.77,4.09
01/19/2001,12.78,0.69,10.00,0.18,5.90,33.42,5.55
01/22/2009,12.78,0.28,2.00,0.00,0.00,33.46,6.22
04/21/2003,12.79,0.69,3.70,0.08,2.60,33.25,6.05
01/31/2007,12.79,0.60,6.40,0.06,4.60,33.32,6.04
04/09/2013,12.80,0.41,3.10,0.04,0.30,33.40,5.94
01/18/2008,12.81,0.86,10.50,0.08,7.90,33.61,5.14
11/16/2014,12.82,0.64,2.80,0.09,3.20,33.41,5.83
11/15/2005,12.84,2.25,24.00,0.29,22.70,34.04,2.20
11/17/2004,12.85,0.79,6.00,0.08,4.70,33.56,5.30
02/06/2006,12.87,0.28,1.00,0.00,0.00,33.58,7.60
02/02/2002,12.88,0.85,6.70,0.08,5.60,33.47,5.84
04/08/2004,12.88,0.95,7.60,0.07,7.10,33.49,4.99
02/05/2006,12.89,0.28,1.00,0.00,0.00,33.57,7.58
01/23/2007,12.91,0.57,1.30,0.08,2.50,33.25,6.05
02/04/2014,12.94,0.74,4.10,0.07,0.90,33.19,5.94
04/07/2018,12.94,2.07,27.20,0.04,24.50,34.09,1.41
02/03/2003,12.97,0.60,3.20,0.12,1.70,33.43,5.68
02/12/2012,12.97,0.98,10.60,0.14,8.30,33.61,5.10
10/25/2006,12.98,0.56,6.20,0.08,6.30,33.44,6.23
08/18/2008,13.02,0.50,3.00,0.00,1.60,33.53,6.21
01/26/2007,13.03,0.55,1.00,0.07,2.10,33.24,6.04
11/07/2015,13.03,0.35,2.40,0.05,0.50,33.44,6.12
01/08/2016,13.03,0.43,3.90,0.06,1.60,33.35,5.50
01/13/2005,13.04,2.68,32.00,0.07,25.10,34.21,0.96
07/04/2000,13.08,0.35,5.00,0.00,0.00,33.49,6.20
02/04/2006,13.10,0.30,1.00,0.00,0.00,33.52,7.42
02/04/2006,13.10,0.30,1.00,0.00,0.00,33.52,7.42
07/25/2016,13.10,0.28,1.90,0.01,0.00,33.23,5.92
03/27/2008,13.11,0.77,6.00,0.00,6.50,33.49,5.64
11/06/2005,13.15,0.85,9.60,0.00,4.80,33.65,4.36
01/14/2009,13.15,0.83,10.00,0.17,7.30,33.58,5.22
10/23/2008,13.16,0.63,8.00,0.11,4.50,33.53,5.61
01/08/2005,13.18,0.62,4.20,0.08,1.40,33.59,5.63
04/23/2008,13.18,0.80,2.00,0.09,6.50,33.55,6.62
10/25/2000,13.20,0.53,7.00,0.00,3.10,33.36,6.04
07/16/2015,13.20,0.59,8.70,0.15,2.40,33.44,5.36
04/20/2018,13.20,0.34,4.50,0.00,0.00,33.54,5.33
04/06/2019,13.20,1.62,23.60,0.02,19.30,33.98,1.63
04/05/2014,13.21,0.64,3.00,0.10,1.90,33.58,5.75
02/02/2003,13.22,0.51,2.00,0.00,0.00,33.28,5.96
08/23/2008,13.23,1.08,11.00,0.00,6.20,33.58,5.04
